easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
1568063.6539701,5205264.81817215,225.27951,0.200000002980232,NA,NA,265.769,0.5950514,16,218.11823,0.39540365,13
1568039.90609857,5204912.9448416,227.85147,0.200000002980232,NA,NA,264.38824,0.5950514,16,218.11823,0.39540365,13
1573082.18330396,5196278.56204492,210.64896,0.200000002980232,NA,NA,260.63278,0.5950514,15,220.0589,0.4556925,10
1571374.74890764,5175474.52581289,233.53943,0.200000002980232,NA,NA,387.9002,0.68287367,5,736.6329,0.65327823,7
1568008.95227042,5172784.91892009,166.75334,0.200000002980232,NA,NA,387.9002,0.68287367,9,495.74252,0.7043546,7
1567984.96250238,5172768.92388714,169.70062,0.200000002980232,NA,NA,387.9002,0.68287367,6,491.11566,0.68166685,7
1576480.11040564,5207643.26943023,224.85387,0.200000002980232,NA,NA,211.89963,0.39401674,16,218.11823,0.39540365,6
1577001.15247628,5207261.89818414,205.06209,0.200000002980232,NA,NA,217.67502,0.39401674,16,218.11823,0.39540365,6
1576829.95183842,5206767.58601935,220.53214,0.200000002980232,NA,NA,217.4745,0.39401674,16,218.11823,0.39540365,6
1575746.55678221,5204782.3478861,199.89568,0.200000002980232,NA,NA,210.48042,0.39401674,16,218.11823,0.39540365,6
1575661.82952855,5204392.99453929,200.48517,0.200000002980232,NA,NA,216.96404,0.39401674,16,218.11823,0.39540365,6
1575674.57452298,5204383.99762161,213.54175,0.200000002980232,NA,NA,216.96404,0.39401674,16,218.11823,0.39540365,6
1572807.56788589,5199632.3114869,209.11757,0.200000002980232,NA,NA,204.76987,0.39401674,16,218.11823,0.39540365,6
1572831.55620767,5199410.3937683,209.66026,0.200000002980232,NA,NA,209.68175,0.39401674,16,218.11823,0.39540365,6
1573134.67501028,5197781.49868573,257.55875,0.200000002980232,NA,NA,210.48042,0.39401674,16,218.11823,0.39540365,6
1575941.35304666,5197323.64861003,171.97668,0.200000002980232,NA,NA,218.65604,0.39401674,15,220.0589,0.4556925,6
1572222.75878041,5196403.01922541,198.33429,0.200000002980232,NA,NA,199.03853,0.39401674,16,218.11823,0.39540365,6
1575952.33837684,5196255.05454664,190.76573,0.200000002980232,NA,NA,222.3834,0.39401674,15,220.0589,0.4556925,6
1572382.19356441,5195365.90680025,203.12097,0.200000002980232,NA,NA,205.87247,0.39401674,15,220.0589,0.4556925,6
1575799.88768546,5195019.02579739,191.10437,0.200000002980232,NA,NA,239,0.39401674,16,218.11823,0.39540365,6
1571678.95922467,5194348.78893774,208.12808,0.200000002980232,NA,NA,193.04825,0.39401674,15,220.0589,0.4556925,6
1573109.91697211,5194207.84167677,202.41681,0.200000002980232,NA,NA,239,0.39401674,255,NA,NA,6
1575213.11229907,5193959.43309793,202.04822,0.200000002980232,NA,NA,196.98706,0.39401674,16,218.11823,0.39540365,6
1575798.88669961,5194407.75986063,191.348,0.200000002980232,NA,NA,205.21468,0.39401674,255,NA,NA,6
1575125.89674475,5193273.695843,206.28706,0.200000002980232,NA,NA,200.01996,0.39401674,15,220.0589,0.4556925,6
1571999.59983427,5192071.64682062,201.30276,0.200000002980232,NA,NA,209.9461,0.39401674,16,218.11823,0.39540365,6
1574928.97750799,5191863.23685137,202.56708,0.200000002980232,NA,NA,204.10103,0.39401674,16,218.11823,0.39540365,6
1571699.47066477,5191281.94346327,202.18306,0.200000002980232,NA,NA,208.44548,0.39401674,15,220.0589,0.4556925,6
1573928.87075174,5190752.65882923,196.89986,0.200000002980232,NA,NA,212.26068,0.39401674,16,218.11823,0.39540365,6
1575838.37760831,5191316.95003181,194.12605,0.200000002980232,NA,NA,215.16214,0.39401674,16,218.11823,0.39540365,6
1573939.86668231,5190731.16712765,196.2542,0.200000002980232,NA,NA,212.26068,0.39401674,16,218.11823,0.39540365,6
1575340.82356466,5190857.12566627,185.89134,0.200000002980232,NA,NA,222.65976,0.39401674,15,220.0589,0.4556925,6
1572996.01049088,5188087.17245111,208.86227,0.200000002980232,NA,NA,208.91597,0.39401674,15,220.0589,0.4556925,6
1576067.32953334,5186775.21955448,197.7501,0.200000002980232,NA,NA,211.1638,0.39401674,15,220.0589,0.4556925,6
1572998.03994185,5186200.89812452,206.71942,0.200000002980232,NA,NA,196.98706,0.39401674,16,218.11823,0.39540365,6
1575071.97910336,5186235.41671087,182.8317,0.200000002980232,NA,NA,208.65291,0.39401674,16,218.11823,0.39540365,6
1576021.85475306,5186255.92239119,180.39212,0.200000002980232,NA,NA,193.04825,0.39401674,15,220.0589,0.4556925,6
1576885.51260805,5186274.42802013,210.05858,0.200000002980232,NA,NA,211.6548,0.39401674,15,220.0589,0.4556925,6
1573159.99162169,5185410.2063044,203.47551,0.200000002980232,NA,NA,208.97949,0.39401674,16,218.11823,0.39540365,6
1576013.12455676,5185205.83458004,192.99062,0.200000002980232,NA,NA,210.43427,0.39401674,16,218.11823,0.39540365,6
1577006.98226564,5185051.91236312,207.14272,0.200000002980232,NA,NA,211.1638,0.39401674,15,220.0589,0.4556925,6
1577619.73293732,5185383.2910925,196.05266,0.200000002980232,NA,NA,239,0.39401674,255,NA,NA,6
1573013.06653695,5184542.039546,224.1679,0.200000002980232,NA,NA,196.98706,0.39401674,15,220.0589,0.4556925,6
1575032.53017505,5184219.70446959,188.69041,0.200000002980232,NA,NA,209.40173,0.39401674,15,220.0589,0.4556925,6
1576173.57694758,5184284.70033359,185.18176,0.200000002980232,NA,NA,210.48042,0.39401674,15,220.0589,0.4556925,6
1577086.96322769,5184274.22165931,198.97255,0.200000002980232,NA,NA,190.12105,0.39401674,15,220.0589,0.4556925,6
1577648.48271213,5184641.58581342,205.02011,0.200000002980232,NA,NA,196.98706,0.39401674,15,220.0589,0.4556925,6
1577035.50318442,5183235.6326235,185.68855,0.200000002980232,NA,NA,205.87247,0.39401674,15,220.0589,0.4556925,6
1578143.06515686,5182889.79281413,200.6321,0.200000002980232,NA,NA,239,0.39401674,15,220.0589,0.4556925,6
1576047.41959223,5182247.50260057,190.12892,0.200000002980232,NA,NA,202.10301,0.39401674,15,220.0589,0.4556925,6
1578147.57642959,5182239.55297882,194.35391,0.200000002980232,NA,NA,201.18008,0.39401674,15,220.0589,0.4556925,6
1578442.71153381,5182030.14321314,206.63222,0.200000002980232,NA,NA,239,0.39401674,255,NA,NA,6
1573142.09519133,5181330.79164351,166.53557,0.200000002980232,NA,NA,202.10301,0.39401674,16,218.11823,0.39540365,6
1575046.84428622,5181200.89246211,192.20518,0.200000002980232,NA,NA,204.76987,0.39401674,15,220.0589,0.4556925,6
1576113.16189217,5181466.31393825,192.2851,0.200000002980232,NA,NA,204.27756,0.39401674,15,220.0589,0.4556925,6
1578765.10694688,5180836.13065114,199.13791,0.200000002980232,NA,NA,239,0.39401674,15,220.0589,0.4556925,6
1575376.74080206,5180163.31191265,183.86073,0.200000002980232,NA,NA,199.55595,0.39401674,15,220.0589,0.4556925,6
1575958.51295242,5179973.9032388,184.41458,0.200000002980232,NA,NA,205.4891,0.39401674,15,220.0589,0.4556925,6
1578308.29668247,5180655.19257825,202.84523,0.200000002980232,NA,NA,239,0.39401674,16,218.11823,0.39540365,6
1578886.08045109,5179880.01971725,180.0788,0.200000002980232,NA,NA,215.79422,0.39401674,15,220.0589,0.4556925,6
1573030.95171295,5179256.10103775,173.71118,0.200000002980232,NA,NA,183,0.39401674,15,220.0589,0.4556925,6
1575916.54899397,5179300.67038462,178.21489,0.200000002980232,NA,NA,200.01996,0.39401674,16,218.11823,0.39540365,6
1579113.2534492,5179254.2790824,197.86664,0.200000002980232,NA,NA,239,0.39401674,255,NA,NA,6
1579343.42882523,5178507.58873203,196.91728,0.200000002980232,NA,NA,239,0.39401674,255,NA,NA,6
1578566.03092007,5177344.53913981,184.4749,0.200000002980232,NA,NA,239,0.39401674,11,691.41766,0.7239429,6
1578854.16487972,5177271.5777561,174.67438,0.200000002980232,NA,NA,239,0.39401674,255,NA,NA,6
1579021.11092044,5176789.27970252,174.46432,0.200000002980232,NA,NA,239,0.39401674,255,NA,NA,6
1573315.25142704,5206270.3514768,164.72166,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1573808.0613481,5206002.93866306,151.65314,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1570917.60632844,5204945.38420422,185.5686,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1574075.70638379,5205783.01372625,160.4534,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1569631.06817741,5204438.09052374,200.34004,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1572931.09190099,5203959.70859567,151.51978,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1573064.51617869,5202589.7117941,180.70317,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1573065.26568534,5202577.71621646,170.5126,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1574198.08035335,5201955.92897979,184.84479,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1574489.73267584,5202607.18184523,217.80423,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1573821.4422439,5200062.1399689,214.86989,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1575568.50315952,5197986.40043208,196.16525,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1575589.49510989,5197983.40135616,194.31044,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1570248.00448686,5197391.16048257,259.79944,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1571033.70784697,5196821.86801258,205.715,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1571930.37209388,5196932.32305823,208.89049,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1572871.01874898,5197086.2605174,223.61743,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1573521.27114808,5196876.33527174,237.6489,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1570087.56033654,5196623.94436935,210.73853,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1571259.86949508,5196098.13619437,206.80559,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1573543.50824303,5196255.06862856,206.35316,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1571041.94896279,5195445.37958975,181.46552,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1572561.87564685,5195382.40017096,201.25429,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1575164.38116768,5194760.62694815,187.72246,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1571186.8948365,5194362.28365005,175.90121,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1568031.08461574,5193092.74403889,207.06543,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1571417.06230232,5193411.14033402,173.32773,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1571499.28101947,5193445.62758653,169.8508,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1571385.0946585,5190844.10654057,175.74136,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1575132.65160172,5191308.95065923,192.2823,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1570375.99146332,5189748.01009937,165.94211,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1571326.1204479,5190533.22347003,180.81415,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1571444.07532417,5190550.21806605,182.28604,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1572971.7448771,5190141.38601077,194.40909,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1568555.44028588,5189079.23734078,171.52542,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1569010.26555243,5189275.17052507,166.34781,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1570292.53131835,5189173.22559574,137.34744,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1570974.2677446,5189457.62642553,193.96523,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1571674.5063991,5188997.8087803,176.41928,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1573028.47769218,5189701.55449104,211.08961,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1568397.27104734,5187903.67390393,196.15175,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1569240.69478446,5188294.54126711,180.34431,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1569440.62105326,5188176.08887276,169.80043,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1571136.96717445,5188646.93533929,169.24567,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1571955.15797663,5188346.56010327,224.0926,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1568529.24272053,5186835.57632976,188.72357,0.200000002980232,NA,NA,196.45905,0.28294012,15,220.0589,0.4556925,4
1568933.33754393,5186925.55026745,180.70593,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1570437.00377166,5187492.86249703,164.42683,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
1571122.74469133,5187294.94863115,153.5902,0.200000002980232,NA,NA,196.45905,0.28294012,16,218.11823,0.39540365,4
