wkt_geom,easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
Point (1488782.5076864599250257 5368110.00971867982298136),1488782.508,5368110.01,1000,0.5,083A,3,NA,NA,255,NA,NA,15
Point (1119289.18327429005876184 4966179.45096105989068747),1119289.183,4966179.451,1500,0.5,CSBF,3,1068.298,0.6903283,5,736.6329,0.65327823,15
Point (1142961.93127863993868232 4948773.24783934000879526),1142961.931,4948773.248,1500,0.5,DCZ,3,1068.298,0.6903283,5,736.6329,0.65327823,15
Point (1126643.338545500067994 4976846.85891951993107796),1126643.339,4976846.859,1500,0.5,DECF,3,1068.298,0.6903283,255,NA,NA,15
Point (1472615.33737288997508585 5268604.77507102955132723),1472615.337,5268604.775,1500,0.5,INZ,3,1068.298,0.6903283,11,691.41766,0.7239429,15
Point (1153144.64773869002237916 4943198.50654064957052469),1153144.648,4943198.507,1500,0.5,MANS,3,1068.298,0.6903283,255,NA,NA,15
Point (1119892.67902005999349058 4974315.07231155037879944),1119892.679,4974315.072,1000,0.5,SECF,3,1068.298,0.6903283,6,491.11566,0.68166685,15
Point (1706999.76134571991860867 5437104.73287883959710598),1706999.761,5437104.733,1000,0.5,TCW,3,1068.298,0.6903283,4,1023.52203,0.707888,15
Point (1285178.28078159992583096 5028545.50399157032370567),1285178.281,5028545.504,1000,0.5,WKZ,3,1068.298,0.6903283,5,736.6329,0.65327823,15
Point (1415769.84731759992428124 5228754.71213370002806187),1415769.847,5228754.712,270,0.5,WVAS,3,1068.298,0.6903283,16,218.11823,0.39540365,15
Point (1415745.93927508010528982 5228442.88587423041462898),1415745.939,5228442.886,1000,0.5,WVZ,3,1068.298,0.6903283,15,220.0589,0.4556925,15
Point (1217860.05459099006839097 4801322.91743018012493849),1217860.055,4801322.917,1500,0.5,APZ,3,1068.298,0.6903283,11,691.41766,0.7239429,15
Point (1162547.57178445998579264 5024929.24775530025362968),1162547.572,5024929.248,1500,0.5,BCOF,3,1068.298,0.6903283,1,791.7739,0.6686169,15
Point (1280673.40714082005433738 5120707.46848983969539404),1280673.407,5120707.468,1500,0.5,BRAH,3,1068.298,0.6903283,7,769.95667,0.7053239,15
Point (1118163.94987527001649141 4952478.61921881977468729),1118163.95,4952478.619,1500,0.5,DAGG,3,1068.298,0.6903283,255,NA,NA,15
Point (1105152.4569296499248594 4916933.13549944013357162),1105152.457,4916933.135,1500,0.5,DKCV,3,1068.298,0.6903283,4,1023.52203,0.707888,15
Point (1115665.79856357001699507 4964784.54960300959646702),1115665.799,4964784.55,1500,0.5,FBYF,3,1068.298,0.6903283,4,1023.52203,0.707888,15
Point (1097104.12527653994038701 4894742.27735693007707596),1097104.125,4894742.277,1500,0.5,LFRZ,3,1068.298,0.6903283,11,691.41766,0.7239429,15
Point (1118279.42900916002690792 4888824.43814557045698166),1118279.429,4888824.438,1500,0.5,LSTC,3,1068.298,0.6903283,8,614.3239,0.71882683,15
Point (1180309.86316289007663727 5039368.90664646029472351),1180309.863,5039368.907,1500,0.5,RONF,3,1068.298,0.6903283,1,791.7739,0.6686169,15
Point (1175791.32459025993011892 5033696.22403897996991873),1175791.325,5033696.224,1500,0.5,RUGF,3,1068.298,0.6903283,1,791.7739,0.6686169,15
Point (1126934.90931051992811263 4920736.18045276962220669),1126934.909,4920736.18,1500,0.5,SPCV,3,1068.298,0.6903283,4,1023.52203,0.707888,15
Point (1678781.77661170996725559 5413145.84192155953496695),1678781.777,5413145.842,1000,0.5,TUWZ,3,1068.298,0.6903283,11,691.41766,0.7239429,15
Point (1282674.80811118008568883 5133273.09869254007935524),1282674.808,5133273.099,1500,0.5,ZIHA,3,1068.298,0.6903283,7,769.95667,0.7053239,15
