wkt_geom,easting,northing,vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
Point (1576480.11040564184077084 5207643.26943022757768631),1576480.11,5207643.269,224.85387,0.200000003,NA,NA,6,213.67421,0.39401674,16,218.11823,0.39540365
Point (1577001.15247628302313387 5207261.89818413648754358),1577001.152,5207261.898,205.06209,0.200000003,NA,NA,6,217.67502,0.39401674,16,218.11823,0.39540365
Point (1573315.25142704043537378 5206270.35147680062800646),1573315.251,5206270.351,164.72166,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1573808.06134810228832066 5206002.93866305891424417),1573808.061,5206002.939,151.65314,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1576829.95183842186816037 5206767.58601935394108295),1576829.952,5206767.586,220.53214,0.200000003,NA,NA,6,217.96611,0.39401674,16,218.11823,0.39540365
Point (1568063.6539701041765511 5205264.81817214842885733),1568063.654,5205264.818,225.27951,0.200000003,NA,NA,4,265.769,0.5950514,16,218.11823,0.39540365
Point (1570917.60632844362407923 5204945.38420421723276377),1570917.606,5204945.384,185.5686,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1574075.70638379128649831 5205783.01372624933719635),1574075.706,5205783.014,160.4534,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1575746.55678220675326884 5204782.34788609761744738),1575746.557,5204782.348,199.89568,0.200000003,NA,NA,6,206.22656,0.39401674,16,218.11823,0.39540365
Point (1568039.90609857090748847 5204912.94484159909188747),1568039.906,5204912.945,227.85147,0.200000003,NA,NA,4,265.9594,0.5950514,16,218.11823,0.39540365
Point (1569631.06817741063423455 5204438.090523736551404),1569631.068,5204438.091,200.34004,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1572931.09190099476836622 5203959.70859566796571016),1572931.092,5203959.709,151.51978,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1575661.82952854549512267 5204392.99453929159790277),1575661.83,5204392.995,200.48517,0.200000003,NA,NA,6,218.22244,0.39401674,16,218.11823,0.39540365
Point (1575674.57452297653071582 5204383.99762160796672106),1575674.575,5204383.998,213.54175,0.200000003,NA,NA,6,218.22244,0.39401674,16,218.11823,0.39540365
Point (1573064.51617868640460074 5202589.71179409697651863),1573064.516,5202589.712,180.70317,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1573065.26568534411489964 5202577.71621645987033844),1573065.266,5202577.716,170.5126,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1574198.08035334595479071 5201955.92897978983819485),1574198.08,5201955.929,184.84479,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1574489.73267583502456546 5202607.18184522725641727),1574489.733,5202607.182,217.80423,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1572807.56788589432835579 5199632.31148690171539783),1572807.568,5199632.311,209.11757,0.200000003,NA,NA,6,204.76987,0.39401674,16,218.11823,0.39540365
Point (1573821.44224389549344778 5200062.13996890187263489),1573821.442,5200062.14,214.86989,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1572831.55620767315849662 5199410.39376830030232668),1572831.556,5199410.394,209.66026,0.200000003,NA,NA,6,209.68175,0.39401674,16,218.11823,0.39540365
Point (1573134.67501028464175761 5197781.49868572782725096),1573134.675,5197781.499,257.55875,0.200000003,NA,NA,6,210.48042,0.39401674,16,218.11823,0.39540365
Point (1575568.50315951555967331 5197986.40043207630515099),1575568.503,5197986.4,196.16525,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1575589.49510988546535373 5197983.4013561625033617),1575589.495,5197983.401,194.31044,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1570248.00448685535229743 5197391.1604825695976615),1570248.004,5197391.16,259.79944,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
